"GEOD_TRF_CODE","GEOD_TRF_EPSG_NAME","GEOD_TRF_USER_NAME","DESCRIPTION","SOURCE_HORIZCS_CODE","TARGET_HORIZCS_CODE","COORD_TRF_VARIANT","COORD_TRF_PATH_CODE","REVISION_DATE","INFORMATION_SOURCE","DATA_SOURCE","REMARKS","CHANGE_ID"
8143,WGS 72BE to WGS 84 (1),,,4324,4326,1,8543,1996-12-12 00:00:00,,EPSG,,
8144,NAD27 to NAD83 (1),,,4267,4269,1,8544,1996-12-12 00:00:00,,EPSG,,
8146,NAD27 to NAD83 (2),,,4267,4269,2,8546,1996-12-12 00:00:00,,EPSG,,
8148,ED50 to WGS 84 (16),,,4230,4326,16,8548,1997-06-12 00:00:00,,EPSG,,
8149,Herat North to WGS 84 (1),,,4255,4326,1,8549,1997-06-12 00:00:00,,EPSG,,
8150,Kalianpur to WGS 84 (3),,,4243,4326,3,8550,1997-06-12 00:00:00,,EPSG,,
8151,ID74 to WGS 84 (1),,,4238,4326,1,8551,1997-06-12 00:00:00,,EPSG,,
8152,NAD27 to WGS 84 (21),,,4267,4326,21,8552,1997-04-11 00:00:00,,EPSG,,
8153,NAD27 to WGS 84 (22),,,4267,4326,22,8553,1997-04-11 00:00:00,,EPSG,,
8154,NAD83 to WGS 84 (2),,,4269,4326,2,8554,1997-04-11 00:00:00,,EPSG,,
8155,NAD83 to WGS 84 (3),,,4269,4326,3,8555,1997-04-11 00:00:00,,EPSG,,
8156,Nord Sahara 1959 to WGS 84 (1),,,4307,4326,1,8556,1997-04-11 00:00:00,,EPSG,,
8157,Pulkovo 1942 to WGS 84 (1),,,4284,4326,1,8557,1997-04-11 00:00:00,,EPSG,,
8158,Voirol Unifie to WGS 84 (1),,,4305,4326,1,8558,1997-04-11 00:00:00,,EPSG,CAUTION:   EPSG believes that the data used in the derivation of these parameters contains a blunder.  We recommend using transformation 1253 as Voirol 1960 geographical coordinates are the same as Nord Sahara 1959 geographical coordinates.,98.15
8159,Fahud to WGS 84 (1),,,4232,4326,1,8559,1997-04-11 00:00:00,,EPSG,,
8160,NTF (Paris) to NTF (1),,,4807,4275,1,8560,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8161,Bern 1898 (Bern) to Bern 1898 (1),,,4801,4217,1,8561,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8162,Bogota (Bogota) to Bogota (1),,,4802,4218,1,8562,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8163,Lisbon (Lisbon) to Lisbon (1),,,4803,4207,1,8564,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8164,Makassar (Jakarta) to Makassar (1),,,4804,4257,1,8565,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8165,MGI (Ferro) to MGI (1),,,4805,4312,1,8566,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8166,Monte Mario (Rome) to Monte Mario (1),,,4806,4265,1,8567,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8167,Padang (Jakarta) to Padang (1),,,4808,4280,1,8569,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8168,Belge 1950 (Brussels) to Belge 1950 (1),,,4809,4215,1,8570,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8169,Tananarive (Paris) to Tananarive (1),,,4810,4297,1,8571,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8170,Voirol 1875 (Paris) to Voirol 1875 (1),,,4811,4304,1,8573,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8171,Voirol Unifie (Paris) to Voirol Unifie(1,,,4812,4305,1,8574,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8172,Batavia (Jakarta) to Batavia (1),,,4813,4211,1,8576,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8173,RT38 (Stockholm) to RT38 (1),,,4814,4308,1,8578,1997-04-11 00:00:00,,EPSG,Prime meridian change.,
8174,Bogota (Bogota) to WGS 84 (1),,,4802,4326,1,8563,1997-04-11 00:00:00,,EPSG,,
8175,Monte Mario (Rome) to WGS 84 (1),,,4806,4326,1,8568,1997-04-11 00:00:00,,EPSG,,
8176,Tananarive (Paris) to WGS 84 (1),,,4810,4326,1,8572,1997-04-11 00:00:00,,EPSG,,
8177,Voirol Unifie (Paris) to WGS 84 (1),,,4812,4326,1,8575,1997-04-11 00:00:00,,EPSG,,
8178,Batavia (Jakarta) to WGS 84 (1),,,4813,4326,1,8577,1997-04-11 00:00:00,,EPSG,,
8179,Greek (Athens) to Greek,,,4815,4120,1,8579,1997-06-16 00:00:00,Topography Department; National Technical University of Athens.,EPSG,,
8180,Schwarzeck to WGS 84 (2),,,4293,4326,2,8580,1998-11-19 00:00:00,,EPSG,,98.46
8181,GGRS87 to WGS 84 (1),,,4121,4326,1,8581,1997-06-16 00:00:00,,EPSG,,
8182,HD72 to ETRS89 (1),,,4237,4258,1,8582,1997-11-13 00:00:00,,EPSG,,97.47
8183,HD72 to WGS 84 (1),,,4237,4326,1,8583,1997-07-22 00:00:00,,EPSG,,
8184,ED50 to WGS 84 (17),,,4230,4326,17,8584,1997-11-13 00:00:00,,EPSG,,
8185,NTF to ED50 (1),,,4275,4230,1,8585,1997-11-13 00:00:00,,EPSG,,
8186,NTF (Paris) to ED50 (1),,,4807,4230,1,8586,1997-11-13 00:00:00,,EPSG,,
8187,NTF to WGS 72 (1),,,4275,4322,1,8587,1997-11-13 00:00:00,,EPSG,,
8188,NTF (Paris) to WGS 72 (1),,,4807,4322,1,8588,1997-11-13 00:00:00,,EPSG,,
8189,AGD66 to GDA94 (1),,,4202,4283,1,8589,1997-11-13 00:00:00,,EPSG,,
8190,AGD66 to WGS 84 (2),,,4202,4326,2,8590,1997-11-13 00:00:00,,EPSG,,
8191,AGD84 to GDA94 (1),,,4203,4283,1,8591,1997-11-13 00:00:00,,EPSG,,
8192,AGD84 to WGS 84 (3),,,4203,4326,3,8592,1997-11-13 00:00:00,,EPSG,,
8193,AGD84 to GDA94 (2),,,4203,4283,2,8593,1997-11-13 00:00:00,,EPSG,,
8194,AGD84 to WGS 84 (4),,,4203,4326,4,8594,1997-11-13 00:00:00,,EPSG,,
8195,RT90 to WGS 84 (1),,,4124,4326,1,8595,1997-11-13 00:00:00,,EPSG,,
8196,Samboja to WGS 84 (1),,,4125,4326,1,8596,1997-11-13 00:00:00,,EPSG,,
8197,Pulkovo 1942 to LKS94 (1),,,4284,4126,1,8597,1998-03-12 00:00:00,,EPSG,,
8198,LKS94 to WGS 84 (1),,,4126,4326,1,8598,1998-04-16 00:00:00,,EPSG,,98.13
8199,Pulkovo 1942 to WGS 84 (2),,,4284,4326,2,8609,1998-03-12 00:00:00,,EPSG,,
8200,Pulkovo 1942 to WGS 84 (3),,,4284,4326,3,8602,1998-03-12 00:00:00,,EPSG,,
8201,Pulkovo 1942 to WGS 84 (4),,,4284,4326,4,8603,1998-03-12 00:00:00,,EPSG,,
8202,Pulkovo 1942 to WGS 84 (5),,,4284,4326,5,8604,1998-03-12 00:00:00,,EPSG,,
8203,Pulkovo 1942 to WGS 84 (6),,,4284,4326,6,8605,1998-03-12 00:00:00,,EPSG,,
8204,Pulkovo 1942 to WGS 84 (7),,,4284,4326,7,8606,1998-03-12 00:00:00,,EPSG,,
8205,Pulkovo 1942 to WGS 84 (8),,,4284,4326,8,8607,1998-03-12 00:00:00,,EPSG,,
8206,Pulkovo 1942 to WGS 84 (9),,,4284,4326,9,8608,1998-03-12 00:00:00,,EPSG,,
8207,Arc 1960 to WGS 84 (2),,,4210,4326,2,8599,1998-03-12 00:00:00,,EPSG,,
8208,Arc 1960 to WGS 84 (3),,,4210,4326,3,8600,1998-03-12 00:00:00,,EPSG,,
8209,Segora to WGS 84 (1),,,4294,4326,1,8601,1998-03-12 00:00:00,,EPSG,,
8210,Voirol 1875 to WGS 84 (1),,,4304,4326,1,8610,1998-03-12 00:00:00,,EPSG,,
8211,Voirol 1875 (Paris) to WGS 84 (1),,,4811,4326,1,8611,1998-03-12 00:00:00,,EPSG,,
8212,Naparima 1972 to WGS 84 (2),,,4271,4326,2,8612,1998-04-16 00:00:00,,EPSG,,
8213,Trinidad 1903 to WGS 84 (1),,,4302,4326,1,8613,1998-04-16 00:00:00,,EPSG,,
8214,Tete to Moznet (1),,,4127,4130,1,8614,1998-04-16 00:00:00,,EPSG,,
8215,Tete to WGS 84 (1),,,4127,4326,1,8615,1998-04-16 00:00:00,,EPSG,,
8216,Tete to Moznet (2),,,4127,4130,2,8616,1998-04-16 00:00:00,,EPSG,,
8217,Tete to WGS 84 (2),,,4127,4326,2,8617,1998-04-16 00:00:00,,EPSG,,
8218,Tete to Moznet (3),,,4127,4130,3,8618,1998-04-16 00:00:00,,EPSG,,
8219,Tete to WGS 84 (3),,,4127,4326,3,8619,1998-04-16 00:00:00,,EPSG,,
8220,Tete to Moznet (4),,,4127,4130,4,8620,1998-04-16 00:00:00,,EPSG,,
8221,Tete to WGS 84 (4),,,4127,4326,4,8621,1998-04-16 00:00:00,,EPSG,,
8222,Tete to Moznet (5),,,4127,4130,5,8622,1998-04-16 00:00:00,,EPSG,,
8223,Tete to WGS 84 (5),,,4127,4326,5,8623,1998-04-16 00:00:00,,EPSG,,
8224,Moznet to WGS 84 (1),,,4130,4326,1,8624,1998-04-16 00:00:00,,EPSG,,
8225,Pulkovo 1942 to WGS 84 (10),,,4284,4326,10,8625,1998-04-16 00:00:00,,EPSG,,
8226,Indian 1975 to WGS 84 (2),,,4240,4326,2,8626,1998-04-16 00:00:00,,EPSG,,
8227,Tokyo to WGS 84 (5),,,4301,4326,5,8627,1998-11-19 00:00:00,,EPSG,,98.46
8228,MGI to WGS 84 (1),,,4312,4326,1,8628,1998-04-16 00:00:00,,EPSG,,
8229,Naparima 1972 to WGS 84 (3),,,4271,4326,3,8629,1998-04-16 00:00:00,,EPSG,,
8230,NAD27 to WGS 84 (23),,,4267,4326,23,8630,1998-04-16 00:00:00,,EPSG,,
8231,NAD27 to WGS 84 (24),,,4267,4326,24,8631,1998-04-16 00:00:00,,EPSG,,
8232,NAD83 to WGS 84 (4),,,4269,4326,4,8632,1998-06-30 00:00:00,,EPSG,,
8233,DHDN to ETRS89 (1),,,4314,4258,1,8633,1998-06-30 00:00:00,,EPSG,,
8234,DHDN to WGS 84 (1),,,4314,4326,1,8634,1998-06-30 00:00:00,,EPSG,,
8235,Pulkovo 1942 to ETRS89 (1),,,4284,4258,1,8635,1998-06-30 00:00:00,,EPSG,,
8236,Pulkovo 1942 to WGS 84 (11),,,4284,4326,11,8636,1998-06-30 00:00:00,,EPSG,,
8237,ED50 to WGS 84 (Common Offshore),,,4230,4326,18,8637,1998-06-30 00:00:00,,EPSG,,98.27
8238,Madrid 1870 (Madrid) to ED50 (1),,,4903,4230,1,8638,1998-11-11 00:00:00,,EPSG,,
8239,Madrid 1870 (Madrid) to ED50 (2),,,4903,4230,2,8639,1998-11-11 00:00:00,,EPSG,,
8240,Madrid 1870 (Madrid) to ED50 (3),,,4903,4230,3,8640,1998-11-11 00:00:00,,EPSG,,
8241,Madrid 1870 (Madrid) to WGS 84 (1),,,4903,4326,1,8641,1998-11-11 00:00:00,,EPSG,,
8242,NAD27 to NAD83 (3),,,4267,4269,1,8642,1998-11-11 00:00:00,,EPSG,,
8243,NAD27 to WGS 84 (25),,,4267,4326,25,8643,1998-11-11 00:00:00,,EPSG,,
8244,NAD27 to NAD83 (4),,,4267,4269,1,8644,1998-11-11 00:00:00,,EPSG,,
8245,NAD27 to WGS 84 (26),,,4267,4326,26,8645,1998-11-11 00:00:00,,EPSG,,
8246,OSGB 1936 to WGS 84 (Petroleum),,,4277,4326,6,8646,1998-11-11 00:00:00,,EPSG,,
8247,OSGB 1936 to ED50 (UKOOA),,,4277,4230,1,8647,1998-11-11 00:00:00,,EPSG,,
8248,Manoca to WGS 84 (1),,,4260,4326,1,8648,1998-11-11 00:00:00,,EPSG,,
8249,Camacupa to WGS 72BE (1),,,4220,4324,1,8649,1998-11-11 00:00:00,,EPSG,,
8250,Camacupa to WGS 84 (1),,,4220,4326,1,8650,1998-11-11 00:00:00,,EPSG,,
8251,Camacupa to WGS 84 (2),,,4220,4326,2,8651,1998-11-11 00:00:00,,EPSG,,
8252,Camacupa to WGS 84 (3),,,4220,4326,3,8652,1998-11-11 00:00:00,,EPSG,,
8253,Camacupa to WGS 84 (4),,,4220,4326,4,8653,1998-11-11 00:00:00,,EPSG,,
8254,Camacupa to WGS 84 (5),,,4220,4326,5,8654,1998-11-11 00:00:00,,EPSG,,
8255,Camacupa to WGS 84 (6),,,4220,4326,6,8655,1998-11-11 00:00:00,,EPSG,,
8256,Camacupa to WGS 84 (7),,,4220,4326,7,8656,1998-11-11 00:00:00,,EPSG,,
8257,Camacupa to WGS 84 (8),,,4220,4326,8,8657,1998-11-11 00:00:00,,EPSG,,
8258,Camacupa to WGS 84 (9),,,4220,4326,9,8658,1998-11-11 00:00:00,,EPSG,,
8259,Camacupa to WGS 84 (10),,,4220,4326,10,8659,1998-11-11 00:00:00,,EPSG,,
8260,Malongo 1987 to Mhast (1),,,4259,4264,1,8660,1998-11-11 00:00:00,,EPSG,,
8261,Mhast to WGS 84 (1),,,4264,4326,1,8661,1998-11-11 00:00:00,,EPSG,,
8262,Malongo 1987 to WGS 84 (1),,,4259,4326,1,8662,1998-11-11 00:00:00,,EPSG,,
